cargo,nome empresa,local,link
Programador,FUMP,Belo Horizonte - MG (1),https://www.catho.com.br/vagas/programador/31278390/
Gerente de Governança de Dados,EY,Fortaleza - CE (1),https://www.catho.com.br/vagas/gerente-de-governanca-de-dados/31272365/
Analista de Sistemas Sênior,PÁSSARO MARRON,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-sistemas-senior/31266849/
Desenvolvedor de Software Pleno,Empresa Confidencial,Curitiba - PR (1),https://www.catho.com.br/vagas/desenvolvedor-de-software-pleno/31266488/
Dev Lead,********,São Paulo - SP (1),https://www.catho.com.br/vagas/dev-lead/31265940/
Desenvolvedor Fullstack Especialista,CAPITANI,São Paulo - SP (1),https://www.catho.com.br/vagas/desenvolvedor-fullstack-especialista/31266608/
Analista Indicadores de Desempenho Pl. em São Paulo - SP,MANPOWER ,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-indicadores-de-desempenho-pl-em-sao-paulo-sp/31260532/
 Especialista em Visualização 3D – Visualização e Otimização em HPC,Empresa Confidencial,Belo Horizonte - MG (1),https://www.catho.com.br/vagas/especialista-em-visualizacao-3d-visualizacao-e-otimizacao-em-hpc/31261151/
Analista de Dados ,PARANOÁ INDÚSTRIA DE BORRACHA,Diadema - SP (1),https://www.catho.com.br/vagas/analista-de-dados/31257296/
Consultor I (Produção e Automação) RP 1278794,PEOPLE2PEOPLE RH,Salvador - BA (1),https://www.catho.com.br/vagas/consultor-i-producao-e-automacao-rp-1278794/31246881/
Desenvolvedor II - Cientistas de Dados,Empresa Confidencial,Salvador - BA (1),https://www.catho.com.br/vagas/desenvolvedor-ii-cientistas-de-dados/31240052/
Analista de Sistemas,CS2,Rio de Janeiro - RJ (1),https://www.catho.com.br/vagas/analista-de-sistemas/31442404/
Engenheiro de Automação,Empresa multinacional americana,Jaguariuna - SP (1),https://www.catho.com.br/vagas/engenheiro-de-automacao/31232901/
Analista de Desenvolvimento de Software Embarcado,General Eletric,Florianópolis - SC (1),https://www.catho.com.br/vagas/analista-de-desenvolvimento-de-software-embarcado/31227731/
Assistente de TI,NEW PARTNER,Guarulhos - SP (1),https://www.catho.com.br/vagas/assistente-de-ti/31227218/
Instrutor de Programação,CNA CURITIBA BOA VISTA,Curitiba - PR (1),https://www.catho.com.br/vagas/instrutor-de-programacao/31230907/
QA Websites,Decision,São Paulo - SP (1),https://www.catho.com.br/vagas/qa-websites/31228794/
Engenheiro de Software,WE HUNT,São Paulo - SP (1),https://www.catho.com.br/vagas/engenheiro-de-software/31216516/
Analista de Dados Sênior,Empresa Confidencial,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-senior/31213972/
Administrador de Broadcom CA Service Desk Manager,EMPRESA DE GRANDE PORTE DA ÁREA DE TECNOLOGIA,São Paulo - SP (1),https://www.catho.com.br/vagas/administrador-de-broadcom-ca-service-desk-manager/31205815/
1347 - Estágio em Desenvolvimento de Software,VEHLOR,Maringa - PR (1),https://www.catho.com.br/vagas/1347-estagio-em-desenvolvimento-de-software/31207349/
Arquiteto de Software Java,MOBIIS SERVICOS DE TECNOLOGIA E PARTICIPACOES,Fortaleza - CE (1),https://www.catho.com.br/vagas/arquiteto-de-software-java/31205979/
Instrutor de Programação,Empresa Confidencial,Rio de Janeiro - RJ (1),https://www.catho.com.br/vagas/instrutor-de-programacao/31205513/
Analista de Automação (TI),Empresa Confidencial,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-automacao-ti/31205139/
Analista de Business Intelligence Sênior,FUNDAÇÃO EDUCAC. INACIANA PADRE SABÓIA DE MEDEIROS,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-business-intelligence-senior/31193455/
Desenvolvimento de Automações Junior ,Empresa Confidencial,São Paulo - SP (1),https://www.catho.com.br/vagas/desenvolvimento-de-automacoes-junior/31197110/
Estágio Automação,TROX,Curitiba - PR (1),https://www.catho.com.br/vagas/estagio-automacao/31195017/
Analista de Processos,Empresa Confidencial,Montenegro - RS (1),https://www.catho.com.br/vagas/analista-de-processos/31455573/
TI ,FLATECK,São Paulo - SP (1),https://www.catho.com.br/vagas/ti/31160777/
Cientista de Dados,Empresa Confidencial,São Paulo - SP (1),https://www.catho.com.br/vagas/cientista-de-dados/31160818/
Analista Sr. Tax Technology,Bridgestone do Brasil,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-sr-tax-technology/31151438/
